Air,Primary,A,Fire+Water,2:00:00,100% (33%),0% (?%),0% (?%),0% (?%),
Snowflake 3,Epic,Sn,snowflake+snowflake,25:00:00,5%,0% (0%),0% (0%),?% (0%),
Snowflake 4,Epic,Sn,snowflake+snowflake,25:00:00,5%,0% (0%),0% (0%),?% (0%),
Coal,Rare,FE,fire+earth,12:00:00,7%,5% (10%),1% (?%),1% (?%),Forgotten Fuels
Seed,Epic,Se,cold+water+light,18:00:00,3%,1% (5%),?% (?%),?% (?%),Forage in the Great Forest
Snowflake 5,Epic,Sn,snowflake+snowflake,40:00:00,1%,0% (0%),0% (0%),?% (0%),
Dazzling,Epic,Or,ornamental+ornamental,55:00:00,0.5%,0.5% (5%),0.25% (5%),0.5% (?%),Fulgent Foray
Lace,Epic,Or,Coal+plant,31:00:00,3%,1% (5%),?% (?%),?% (?%),Doily Dash
Ornamental,Epic,Or,Reindeer+fire,18:00:00,6%,1% (5%),?% (30%),?% (30%),Sleigh Ride
Holly,Rare,PEC,Mistletoe+Evergreen,24:00:00,12% (3%),2.5% (10%),1% (?%),1% (?%),Wreaths Wrath
Flicker,Epic,Or,Gift+earth,25:00:00,4%,1% (5%),5% (?%),5% (?%),Glimmer Grotto
Verglace,Epic,Or,Mistletoe+cold,25:00:00,5%,1% (5%),?% (?%),?% (?%),Lord of the Fjords
Regift,Rare,PFC,plant+fire+cold,12:00:00,7%,5% (10%),1% (?%),1% (?%),Nor'easter Beaster
Ribbon,Epic,Or,Regift+fire,19:00:00,4%,1% (5%),5% (30%),5% (30%),Streaming & Gleaming
Tinsel,Epic,Or,Holly+cold,27:00:00,3%,1% (5%),5% (30%),5% (30%),Into the Bushes
Twinkle,Epic,Or,Winter+air,55:00:00,0.5%,1% (5%),5% (25%),5% (25%),Cave of Caroling
Trinket,Rare,PFC,plant+fire+cold,12:00:00,7%,5% (10%),5% (?%),5% (?%),Keepsake Cavern
Snowpocalypse,Epic,Ap,Winter+Apocalypse,20:00:00,3%,1% (5%),5% (30%),5% (30%),Clouds of Garita
Icebound,Rare,CWA,cold+water+air,19:00:00,5%,1.5% (10%),1% (30%),1% (30%),Icy Encounters
Candlecrown,Rare,PFEC,Holly+fire,18:00:00,2%,1.5% (10%),1% (?%),1% (?%),The Warmth of Cheer
Krampus,Rare,FEC,Coal+cold,25:00:00,2%,1.5% (10%),1% (?%),1% (?%),Iceberry Gobbling
Kringle,Rare,PFEC,Trinket+earth,25:00:00,2%,1.5% (10%),1% (?%),1% (?%),Checking it Twice
Woolen,Rare,PFEC,Gift+earth,18:00:00,2%,1.5% (10%),1% (?%),1% (?%),Always in Style
Sleighbell,Rare,PFEC,Reindeer+fire+earth,15:00:00,4%,1.5% (10%),1% (?%),1% (?%),Gone Caroling
Starshine,Epic,Or,Twinkle+Dazzling,19:00:00,2%,1.5% (10%),1% (?%),1% (?%),Shine On
Jingle,Rare,PFEC,Mistletoe+fire,15:00:00,2.5%,1.5% (10%),1% (?%),1% (?%),Ringing Wrangle
Snowflake 6,Epic,Sn,snowflake+snowflake,42:00:00,1%,0% (0%),0% (0%),0% (0%),
Longcicle,Rare,CWA,cold+water+air,16:00:00,3%,5% (10%),5% (30%),5% (30%),As Long as Winter Itself
Lyuba,Rare,ECWA,Icebound+cold+earth,14:00:00,3.5%,1.5% (5%),1% (30%),1% (30%),Preserved In Time
Neyvee,Rare,PFECW,Woolen+water+earth,15:00:00,3.5%,1.5% (5%),1% (30%),1% (30%),Swimming in the Ocean
Ketu,Rare,CAD,cold+dark+air,20:00:00,3%,4% (15%),1% (30%),1% (30%),Hares Everywhere
Chaiko,Rare,CWA,Longcicle+Starshine,15:00:00,3%,10% (20%),1% (30%),1% (30%),Lever Physics
Jamjam,Rare,PFEC,Regift+Jingle,15:00:00,3%,10% (20%),1% (30%),1% (30%),Raining Presents
Snowflake 7,Epic,Sn,snowflake+snowflake,44:00:00,1%,0% (0%),0% (0%),0% (0%),
Weaver,Rare,PECD,Woolen+Cave,18:00:00,4%,10% (20%),1% (30%),1% (30%),Tangled Web
Everfrost,Rare,PFEC,Starshine+Dazzling,16:00:00,3.95%,10% (20%),1% (30%),1% (30%),Stay Frosty
Igluit,Epic,CWAHi,Icebound+hidden,15:00:00,3.9%,1% (15%),5% (30%),5% (30%),Free Real Estate
Sugarmitten,Rare,PFEC,Sugarplum+Woolen,18:00:00,4%,10% (20%),1% (30%),1% (30%),Nice and Cozy
Aisa,Rare,ECAD,Verglace+Zumi,24:00:00,3.2%,10% (20%),1% (30%),1% (30%),Triple Axel
Elkar,Rare,PEC,Reindeer+Snowflake 7,26:00:00,3%,10% (20%),1% (30%),1% (30%),Let It Snow
Kotun,Rare,ECAD,Lokilure+Ketu,32:00:00,3.4%,10% (20%),1% (30%),1% (30%),Tales of Icebrand
Nature,Rare,CWA,Reminiscence+cold+air,23:00:00,2.2%,10% (20%),1% (30%),1% (30%),Ice Change
Greenge,Epic,FECIOr,Burglehoo+Yule,20:00:00,2%,1% (15%),5% (30%),5% (30%),Grumpy Wumpy
Ariesian,Epic,FZo,Solarflare+fire,27:00:00,4%,10% (15%),5% (30%),5% (30%),Fire Hazard
Cansian,Epic,WZo,Moon+water,28:00:00,4%,10% (15%),5% (30%),5% (30%),Clamps
Pisceian,Epic,WZo,Omen+water,24:00:00,3.5%,4% (15%),5% (30%),5% (30%),Centrifuge
Geminian,Epic,AZo,Sunstruck+air,23:00:00,3.4%,4% (15%),5% (30%),5% (30%),Synergy
Aquarian,Epic,AZo,Midnight+air,29:00:00,3.3%,4% (15%),5% (30%),5% (30%),Splish Splash
Taurian,Epic,EZo,Midday+earth,24:00:00,3.2%,4% (15%),5% (30%),5% (30%),The Bulls
Capricornian,Epic,EZo,Chimmit+earth,24:00:00,3.5%,10% (15%),5% (30%),5% (30%),Headstrong
Leonian,Epic,FZo,Bicentennial+fire,27:00:00,4%,10% (15%),5% (30%),5% (30%),Mighty Roar
Scorpionian,Epic,WZo,Squall+water,28:00:00,4%,10% (15%),5% (30%),5% (30%),Terrorize
Sagittarian,Epic,FZo,Seraph+fire,23:00:00,3.3%,4% (15%),5% (30%),5% (30%),Hawk's Eye
Virgonian,Epic,EZo,Aperture+earth,29:00:00,3.3%,4% (15%),5% (30%),5% (30%),Flowy and Glowy
Librian,Epic,AZo,Stygian+air,24:00:00,3.2%,4% (15%),5% (30%),5% (30%),
